accommodates,bathrooms,bedrooms,guests_included,host_listings_count,latitude,longitude,minimum_nights,number_of_reviews,distance_centre,instant_bookable,entire_home,private_room,shared_room,price
4,2.0,2.0,1,1.0,52.358465522,4.9338432093,2,8,3.2794828904546702,0,1,0,0,160.0
4,1.0,2.0,2,1.0,52.3635894569,4.9833529854,3,0,5.95184324342828,0,1,0,0,120.0
2,1.0,1.0,1,1.0,52.3752087684,4.8616469873,3,8,2.6010545196397,0,1,0,0,99.0
2,1.0,1.0,1,1.0,52.3873815283,4.8904569458000005,2,41,1.0951382507840064,0,0,1,0,100.0
2,1.0,1.0,1,1.0,52.384061757,4.8898771767,3,0,0.8444913413612977,0,1,0,0,175.0
3,1.5,1.0,2,1.0,52.3558937273,4.9092532898000005,2,9,2.673105070306385,0,1,0,0,119.0
4,2.0,2.0,2,1.0,52.3573710153,4.8585455522,1,0,3.684304635546884,1,1,0,0,200.0
2,1.0,1.0,1,1.0,52.3795129851,4.854446242,2,20,3.051716339653217,0,1,0,0,99.0
5,1.5,3.0,1,1.0,52.3592098795,4.8623676638,2,36,3.354566917714466,0,1,0,0,225.0
2,1.0,1.0,1,1.0,52.4063145925,4.9224177979,1,18,3.3935414602725844,0,0,1,0,63.0
2,1.0,1.0,2,1.0,52.35901103,4.8643977977,2,28,3.2677124950849263,0,1,0,0,130.0
2,1.0,2.0,1,1.0,52.3695392878,4.8636794398,4,34,2.65192318030684,0,1,0,0,129.0
2,1.0,1.0,1,1.0,52.3728599168,4.8892744846,2,4,0.984578574216199,0,1,0,0,150.0
4,1.0,2.0,1,1.0,52.3610740273,4.8524449973,2,2,3.770295817141665,0,1,0,0,205.0
2,1.0,1.0,2,1.0,52.3572251866,4.926017874,1,4,3.0350318233814515,0,1,0,0,69.0
2,1.0,1.0,1,2.0,52.3821774889,4.8818080388,3,1,1.240675688750938,1,1,0,0,160.0
2,1.0,1.0,1,1.0,52.369887456,4.8509644308,3,0,3.446688486630235,0,1,0,0,90.0
2,1.0,1.0,1,1.0,52.3565973368,4.8878807268,3,6,2.6299832466050903,0,1,0,0,129.0
4,1.5,2.0,1,1.0,52.3530889613,4.9376027956,2,0,3.888560374179982,0,1,0,0,240.0
4,1.5,2.0,2,2.0,52.3780000593,4.8608243390000005,4,12,2.6222264691018378,0,1,0,0,159.0
4,1.0,1.0,2,1.0,52.365265072,4.9054936646,1,131,1.6010363198176063,0,0,1,0,120.0
4,1.0,2.0,3,2.0,52.3460704325,4.8903601872,2,11,3.731425492897652,0,1,0,0,259.0
4,1.0,1.0,1,1.0,52.3618228793,4.8516072152,2,3,3.775247165760464,0,1,0,0,150.0
6,1.0,4.0,1,1.0,52.3637575734,4.871988086,5,0,2.531259394277436,0,1,0,0,350.0
2,1.5,1.0,1,16.0,52.3506121702,4.91238077,1,3,3.2949376043424814,1,1,0,0,120.0
2,1.0,1.0,1,1.0,52.3581136456,4.8600165358,2,1,3.554831258857168,0,1,0,0,95.0
4,2.0,3.0,1,1.0,52.3692579365,4.8886947866,3,1,1.3222822118662196,1,1,0,0,125.0
2,1.0,1.0,1,1.0,52.3496217895,4.8480560918,4,0,4.790493382231265,0,1,0,0,82.0
2,1.0,1.0,1,3.0,52.3701699316,4.8878887246,6,46,1.2718695966921558,0,1,0,0,129.0
1,1.0,1.0,1,1.0,52.3682812979,4.8491241149,2,20,3.6218130827311743,0,0,1,0,49.0
